,白话文,文言文
2322,用香茅塞在肚腔里，塞得满满的。,以茅茹腹令满。
2323,像这样，即使给秦王在关外修筑明堂来使诸侯朝拜，也是可以的。,若是，则虽为之筑明堂于塞外而朝诸侯，殆可矣。
2324,就是随时或经常采用。,谓随时常用。
2325,宦官们在文宗之前到了金吾仗，发现幕后埋伏有武装兵士，急忙将文宗扶上软轿逃回后宫。,内官先至金吾仗，见幕下伏甲，遽扶帝辇入内，
2326,五，观察一切众生心行的清净智慧，因为他了知一切如幻不实；,观一切众生心行清净慧，了知如幻故；
2327,百姓代代相传，却不知晓它的缘起。,民世世传之，而不知省其所起。
2328,‘你认识那位女人吗？,‘汝识彼女不？
2329,便会作如是之念：,便作是念。
2330,所以聪明的人为此规定了名分。,故知者为之分也。
2331,周武王即位，梦见三位神人说：“我已经使殷纣沉湎在酒乐之中，你去攻打他，我一定使你彻底戡定他。”,武王践功，梦见三神曰：予既沈渍殷纣于酒德矣，往攻之，予必使汝大堪之。
2332,布署军队在襄州、邓州，胁迫朝廷，擅自扣留被逐之臣，连天子使臣也不放在眼里。,移军襄、邓，迫胁朝廷，擅留逐臣，徼遮天使。
2333,“我们也是色、受、想、行、识这五阴和合之身，修行乞食。,“吾等亦为五阴之身，行求分卫。
2334,而眼根、耳根、身根如果就是相应三识的种子，那它们究竟是系属于二地还是系属于五地，还是会碰到同样的疑难。,眼、耳、身根即三识种，二地、五地为难亦然。
2335,再告诉他说：,而语之言：
2336,他的弟子听说这件事，急忙赶到那里，到的人虽然没有说什么，但他们的看法都是一致的。,门人闻之，趋而进，至者不言，其意皆一也。
2337,应当知道，没有任何一处是空无佛身的。,当知无有少许处空无佛身。
2338,当时蜀地刚刚平定，百姓饥饿，土地荒芜，刘颂上表请求救济，不等答复就实行救济，因此被除去官职。,时蜀新平，人饥土荒，颂表求振贷，不待报而行，由是除名。
2339,子高对公孙龙说：“我身居鲁国，久闻先生大名，非常佩服先生的高论，我早就希望能拜您为师了。,谓之曰：“仆居鲁，遂闻下风，而高先生之行也，愿受业之日久矣。
2340,每条隧道口设两个窑灶，隧道门上方都要盖瓦屋，安排小吏和亲信各一人看管，必须备足水。,穴二窑。皆为穴月屋，为置吏、舍人各一人，必置水。
2341,行这种道的人，方是真正永远断绝尘劳之累的人。,此道真正永绝尘累；
2342,出城，,出拘尸城。
2343,你们应该各勤己务。,汝等各勤己务。
2344,进攻下邳，王常部在城门大战，一日数合，贼逃入城中，王常追击逼迫，城上箭如雨下，帝从百余骑自城南高处观看，王常战斗很勇敢，派遣中黄门驰诏书让其引还，贼于是投降。,进攻下邳，常部当城门战，一日数合，贼反走入城，常追迫之，城上射矢雨下，帝从百余骑自城南高处望，常战力甚，驰遣中黄门诏使引还，贼遂降。
2345,如果执着于心或执者于净，就障蔽了正道。,若着心着净。即障道也
2346,臣所论及之事，很是急切，伏愿陛下特垂详察。”,臣所论者，事甚急切，伏愿特垂详察。”
2347,形势优越之地，不是亲信之人不能让他守在这裹。,形胜之地，非亲勿居。
2348,另有非择灭无为，指非永远灭除。,有非择灭，非永灭故。
2349,不管贤德还是不贤德，都不搞乱次序。,居贤不肖，不乱其序。
2350,说：一定要急迫地去爱民众才能驱使他们，表达对他们信任才能拥有他们，用富贵在前面引导，用严明的惩罚在后面作为督促。,曰：必疾爱而使之，致信而持之，富贵以道其前，明罚以率其后。
2351,蓝玉北征南返时，夜抵喜峰关，守关官吏没能及时开门接纳，蓝玉便纵兵毁关，破门而入，皇帝闻知，很不高兴。,北征还，夜扣喜峰关。关吏不时纳，纵兵毁关入。帝闻之不乐。
2352,亦思马因死后，入侵者又称自己为小王子，还有一个叫伯颜猛可王。,亦思马因死，入寇者复称小王子，又有伯颜猛可王。
2353,“楚国虽与韩国联合，但它不会为韩国打头阵；,“楚虽合韩，不为韩氏先战；
2354,我思考古代的豪杰，保境安民，有德待之。,“朕惟古之豪杰，保境安民，以待有德。
2355,辨析典章节制调度，在办事上都得以应用。,辩章节度，事皆施用。
2356,对朋友应当有信，对仆人应当慈爱。,于朋友则尽信，于仆使当慈爱。
2357,乡官部吏，一般官员，职务低贱，俸禄微薄，车马衣服，都出于老百姓。,乡官部吏，职斯禄薄，车马衣服，一出于民，
2358,逮童左尘五年五月丁巳，各有两块陨石落在湿墨和河阳县。,武帝太康五年五月丁巳，陨石于温及河阳各二。
2359,过去的沙门、婆罗门有人能和佛陀相匹等与否。,过去沙门婆罗门与佛等不。
2360,十六日，又有人上书说范琼逼迁徽宗及迎立张邦昌，范琼供认不讳，被赐死，子弟都流放岭南。,壬辰，言者又论范琼逼迁徽宗及迎立张邦昌，琼辞伏，赐死，子弟皆流岭南。
2361,玄宗又问神仙冶炼法，吴筠答道“：这是山野之人干的事，是长年累月的修炼去祈求的，不是皇上所应关心的。”,复问神仙治炼法，对曰：“此野人事，积岁月求之，非人主宜留意。”
2362,现在萧敏一天天好转，却请求和臣的侄女重新婚配。”,今敏日愈，却乞与臣侄女配合。”
2363,“还有在禅定中的一些有教养的男信徒，所见的境遇都消灭了，感受的境遇明白无误。,“又彼定中诸善男子，见色阴销，受阴明白。
2364,弘正乃浅陋之书生，不能通今博古，祖籍汝、颍，世代以忠烈相传，先人在燕朝任决曹掾时曾多次上书直谏，在万岁面前显现出节义，在三府面前严辞正色，虽然盛德之业将要断绝，然而疏狂之风未泯。,弘正陋学书生，义惭稽古，家自汝、颍，世传忠烈，先人决曹掾燕抗辞九谏，高节万乘，正色三府，虽盛德之业将绝，而狂直之风未坠。
2365,玉的光气如白色长虹，像天；,气如白虹，天也；
2366,所以说不如太子自己做相。”,故曰，不如太子之自相也。”
2367,当时，佛陀正安坐在摩竭提国的阿兰若正法菩提道场中，他刚刚成就了无上正等正觉，圆满菩提道而成佛。,一时佛在摩竭提国阿兰若法菩提场中，始成正觉。
2368,当时边政长久废弛，强壮兵卒大都被当作工匠为中官家私役占有。,时边政久驰，壮卒率占工匠私役中官家，
2369,三十二瑞相打扮起来，八十种好装饰起来，惭愧心是漂亮衣服，深虔心是美丽花鬘。,相具以严容，众好饰其姿，惭愧之上服，深心为华鬘。
2370,经过七天后，,过七日已。
2371,“真的能与我共同辩论经义吗？”,“审能与我共难经道不？”
2372,如果先前已有虚空存在，就应当是没有无碍相。,若先有虚空，即为是无相。
2373,二十五日，又任命赵鼎为御史中丞。,丁酉，复以赵鼎为御史中丞。
2374,这时，优毗迦叶遶城三匝后，往诣于长者之家。,时，优毘迦叶遶城三匝，往诣长者家。
2375,王师乱，仓部郎中崔义起募兵在城中与那利兵战，曹继叔、韩威配合攻击，斩杀三千人。,王师扰，仓部郎中崔义起募兵战城中，继叔、威助击之，斩首三千级。
2376,赫然发怒惩办大恶，窦宪这样的奸逆就制服了。,王赫自中，赐命强慝。
2377,一切灾难，都会消灭。,一切灾厄，悉皆销灭。
2378,所以天下的祸患，没有什么比刑狱更严重；,故天下之患，莫深于狱；
2379,皇帝于是授陈顼为柱国大将军，诏命杜杲送他回国。,帝乃拜顼柱国大将军，诏杲送之还国。
2380,根据情况，给予名称。欲恶正当的人，有时能把握事物的真实情况。,次察由、比因、优指；复次察声端名，因情复名。
2381,一种谷物无收叫做馑，二种谷物无收叫做旱，三种谷物无收叫做凶，四种谷物无收叫做馈，五种谷物无收叫做饥。,一谷不收谓之馑，二谷不收谓之旱，三谷不收谓之凶，四谷不收谓之馈，五谷不收谓之饥。
2382,只希望将军考虑良策，自求多福。”,但当议良图，自求多福。
2383,八，因为佛陀的音声无量，所以菩萨出一言语周遍法界，众生没有不听闻了知集聚辅助之道也无量；,如佛音声无量，菩萨出一言音周遍法界，一切众生无不闻知故，所集助道亦无量；
2384,二十日，废罢高州。,乙巳，废高州。
2385,虽然如是，然而还不如我的得道之真。,虽尔，故不如我得道真。”
2386,因此，永远丧失阿赖耶识之名，这就称为‘舍，并不是舍除一切第八识阿赖耶识之体。不能说阿罗汉已无识持种，此时便入无余涅盘。,由斯永失阿赖耶名，说之为舍，非舍一切第八识体，勿阿罗汉无识持种，尔时便入无余涅盘。
2387,当军队远离蔡山三百里时，李皋下令步兵全都上船，顺流而下，径攻蔡山，拿了下来，隔了一天，叛军救兵赶到，也被打得大败。,西去蔡山三百里，皋遣步士悉登舟，顺流下，攻蔡山，拔之。间一日，贼救至，遂大败，
2388,像如是的经教，乃结集者的我们，都同样的听过的：,如是我闻。
2389,只用饭包裹，不搁盐。,与饭裹，不用盐也。
2390,你大得善利了。,大得善利也。
2391,就是前代，尚不被怀疑；,窃惟前古，尚不为疑；
2392,陆绩说：“天体东西南北的直径都是三十五万七千里。”,绩云“天东西南北径三十五万七千里”，
2393,二是对那些不是根器的人宣讲甚深的佛法，也是菩萨的错谬；,非器众生说甚深法，是菩萨谬；
2394,所以君臣之间可以有不同但并不离心离德，可以有责备但不会怨恨，可以有屈抑但不会受到侮辱。,故君臣有异无乖，有怨无憾，有屈无辱。
2395,我知道曾经有无数的诸王，皆为你们的嫉妒之心理所害。,我念昔者有无量诸王，皆为汝等嫉妒之心非理所害。
2396,不久王澄死了，荆州发生饥荒，王尼得不到食物，就杀了牛毁了车，煮牛肉吃。,俄而澄卒，荆土饥荒，尼不得食，乃杀牛坏车，煮肉啖之。
2397,又奏请派出五千名服役工匠帮助修复东都。,又请助丁匠五千修东都。
2398,当初，苟勖在路上听见赵商人的牛铃。记住了声音。,初，勖于路逢赵贾人牛铎，识其声。
2399,景复败，逃回黎州，蛮人追击，则又被景复击败。,景复败，走还黎州。蛮蹑追，为景复所败。
2400,不久，加封为魏博招讨使。,寻加魏博招讨使。
2401,还是另有他义？请世尊为我讲说。”,为别有义？”
2402,假如那天你也力争诛杀刘瑾，那就与我们一起离去了。”,使当日力争，与我辈同去矣。”
2403,这时李曾羽由宗正卿出任华州史，父子同时接受皇帝的委任诏令，上流人士认为这是荣耀的事。,时自宗正卿出刺华州，父子同时承恩制，人士荣之。
2404,当海水一触及日藏大宝的光明，就会化为乳水。乳水一触及离润大宝的光明，就会提炼成酪块。酪块一触及大焰光宝的光明，就会变成酥块。酥块一触及尽无余大宝的光明，就会变成醍醐。假如这四宝的大火十分炽然，就会化整个大海为醍醐，无有剩余。,此日藏大宝光明照触海水悉变为乳，离润大宝光明照触其乳悉变为酪，火焰光大宝光明照触其酪悉变为酥，尽无余大宝光明照触其酥变成醍醐，如火炽然，悉尽无余。
2405,甜和苦显现出了舌根的作用。,由甜与苦显此舌根。
2406,六触入处，如果尽了，而离欲，而灭息，而没后。说他为有余与否？,“六触入处尽，离欲、灭、息、没已，有余耶？
2407,关中的人，叫它作‘蕨，山东的人，叫它作‘鳖，也叫‘蕨。”,周、秦曰‘蕨；齐、鲁曰‘鳖，亦谓‘蕨。”又浇之。
2408,陈蕃辞让说“：不过误，不遗失，循用旧典文章，我不如太常胡广；,蕃让曰：“‘不愆不忘，率由旧章，臣不如太常胡广。
2409,这时，佛陀的四众弟子们，知道大目揵连尊者默然允许后，就各从座起，作礼后，离去。,时，诸四众知尊者大目犍连默然许已，各从座起，作礼而去。
2410,便将脖子伸到十几丈长，对旃陀罗说：,便引项令长十余丈，语栴陀罗：
2411,如果迷惑不知魔事，就会堕落人无边的苦难地狱。,迷惑不知，堕无间狱。
2412,六日，诏谕天下：云南已经平定。,甲寅，以云南平，诏天下。
2413,‘身体能离地面四指高的人就没有淫欲，何况定光升到空中，有大神通，怎么会有淫欲之事呢？,‘身能离地四指，无有淫欲。何况定光，升虚空中，有大神变，而有欲事？
2414,因为不追思悔改的缘故，以前的罪业不但没有灭除，后来的过失又复生起，,以不悔故，前罪不灭，后过又生。
2415,种时，不要趁湿地。,种不用湿。
2416,庄烈帝突然听到这个消息，大吃一惊，但想到文龙既已死去，当时又靠着崇焕，所以就以赞扬的态度下诏书褒奖他。,帝骤闻，意殊骇，念既死，且方倚崇焕，乃优旨褒答。
2417,二十二日，诏令丁谓像从前一样到中书省处理政务。,己巳，诏谓赴中书视事如故。
2418,捷春派遣罗洪政、沈应龙二将充当援兵。,捷春遣二将罗洪政、沈应龙为助。
2419,现在树立了人所诟病的，积聚了人所争攘的，使人的身体穷困而无休止的时刻，要想不走入这种地步，办得到么！“古时候的人君，把有所得归功于人民，把有所失归咎于自己；,今立人之所病，聚人之所争，穷困人之身使无休时，欲无至此，得乎！“古之君人者，以得为在民，以失为在己；
2420,革指油漆了的革，木指油漆了的木。,革者漆革，木者漆木。
2421,还说长安是京城，希望记住关中。,又言京师宗庙所在，愿以关中为意。
2422,十三日，戴庆火可去世，赠资政殿大学士。,庚辰，戴庆炣卒，赠资政殿大学士。
2423,那人回答说：“我是丘吾子。”,对曰：“吾丘吾子也。”
2424,皇帝西去，任用司马越为太傅，与太宰司马颐两人共同辅佐朝政，辞让没有接受。,帝西幸，以越为太傅，与太宰颙夹辅朝政，让不受。
2425,“你没有看到床上的棉被、枕头吗？”,“汝不见床上被枕耶？”
2426,经过都城，因病赐予诰命，于居所授任司空、岐国公退休，去世，赠太师兼侍中。,过都，以疾赐告，就第拜司徒、岐国公致仕，卒，赠太师兼侍中。
2427,起初崔浩同冀州刺史崔赜、荥阳太守崔模等年龄相差无几，崔浩为长，次是模，再次是赜，三个人不是一个祖先，但模、赜两家较亲近。,始浩与冀州刺史颐、荣阳太守模等年皆相次，浩为长，次模，次颐。三人别祖，而模、颐为亲。
2428,骨节和别人一样而遇到伤害的情况却和别人不同，这是由于他的精神凝聚，乘车也不知道，坠下也不知道，死生惊惧进不了他的胸中，所以触撞外物而不惊惧。,骨与人同而犯害与人异，其全也，乘亦不知也，坠亦不知也，死生惊惧不入乎其胸中，是故物而不慴。
2429,平定江东后，攻克长兴，设立永兴翼元帅府，耿炳文为元帅，费聚为副。,既定江东，克长兴，立永兴翼元帅府，以聚副耿炳文为元帅。
2430,范明率族人五百人，与诸军会合，共四千人，又进兵征讨张健。,明率宗党五百人，合诸军，凡四千人，复进讨健。
2431,喻如转轮圣王，在于诸小国王当中为最上、最胜一样，,“譬如转轮圣王，于诸小王最上最胜！
2432,那些有智的人，作如是之观：,彼有智者作如是观：
2433,有的称作种子，有的称作界，有的称作性，这些都是对种性的不同称呼。,或名种子，或名为界，或名为性，是名差别。
2434,再向前行，看见一肉，受苦和先前一样。,复更前进，见一肉拘修罗，受苦如前。
2435,世尊告诉他们说：,世尊告曰：
2436,第二年八月，高杰就带着邢氏过来归附。,次年八月遂窃邢氏来归。
2437,为甚么呢？,所以者何？
2438,激起愤怒心情的，声音粗壮尖厉；,其怒心感者，其声壮以厉；
2439,众生们将长衰，,群生长衰。
2440,大家就请教阿难有关于转轮圣王之葬法之仪。,又问阿难：
2441,一切诸佛国土，都如同虚空一样。,诸佛刹土。尽同虚空。
2442,萧衍又亲手写下诏书给各军，说：“萧确等如果不肯入城，应当按军法把他们押送来。”,衍又为手书与诸军，云：“确若不入者，宜以军法送之。”
2443,菩萨如此地求法教化，即使经过不可说不可说的时劫，也毫无厌足，以上就是菩萨第十种宛如大海的智慧。,菩萨如是于不可说不可说劫无有厌足，是为第十如海智。
2444,《诗经》说：“执政者变为伤害人民的人，还不知道他自己的过失。”,《诗》曰：“废为残贼，莫知其尤。”
2445,占卜说：“预示着战争、死亡。”,占曰：“为兵丧。”
2446,您之所以能被留到今天，就是因为项王现在还在。,足下所以得须臾至今者，以项王尚存也。
2447,钟瑾好学慕古道，谦虚退让，与李膺同年，都有名气。,瑾好学慕古，有退让风，与膺同年，俱有声名。
2448,牛骨髓油不够，可以和上些牛脂；,牛髓少者，用牛脂和之；
2449,在释迦牟尼佛讲说阿弥陀佛从菩萨因地，成就了所发的成佛誓愿时，阿阇王子与五百个长者听佛说法后，便都引发了空前喜悦的欢喜心，他们每人各持一把金华盖，一齐来到释迦牟尼佛前顶礼致敬，将华盖奉献给佛后，退下坐在一侧听佛演说经法。,佛说阿弥陀佛为菩萨求得是愿时，阿阇王子与五百大长者闻之，皆大欢喜，各持一金华盖，倶到佛前作礼，以华盖上佛已，却坐一面听经。
2450,对于提问粗鲁玩弄言辞的，不要回答；对于怪诞虚妄的言论，不要称道。,谒问析辞勿应，怪言虚说勿称。
2451,甚么叫做一修法呢？,云何一修法？
2452,石勒和季龙以往与匹弹结拜为兄弟，季龙起身行拜礼。,勒及季龙素与匹䃅结为兄弟，季龙起而拜之。
2453,中峰和尚听了之后，便叫他们把所认为是善的，恶的事情都说出来。,中峰令试言其状。
2454,后来在入定时，才悔恼,后欲入定时方悔。
2455,窃取了皇帝的权力，窃夺了自然的威力，他们的做法违害了国家的治理，的确可悲啊！,窃人主之权，擅造化之力，其为害政，良可悲矣！
2456,仲弓又问：“法令禁止的就到此为止了吗？”,仲弓曰：“其禁尽于此而已？”
2457,刘胤的将吏想要抵抗，郭默吼住他们说：“我受韶有所征讨，敢动的人诛灭三族。”,胤将吏欲距默，默句之曰：“我被诏有所讨，动者诛及三族。”
2458,这时，诸位菩萨听闻之后，一心渴望瞻仰世尊，只愿立即听闻世尊的真实功德。他们都这样想：,尔时，诸菩萨闻此说已，一心渴仰，唯愿得闻如来世尊真实功德，咸作是念：
2459,许州偏将秦宗权奏报在汝州击败贼军，便授予秦宗权蔡州防御使之职。,许州牙将秦宗权奏破贼于汝州，乃授宗权察州防御使。
2460,只有我们的世尊，可以说有四种涅槃。,唯我世尊，可言具四。
2461,门人回答说：“防地的坟墓塌了。”,对曰：“防墓崩。”
2462,哪个长老能够弘扬佛法，能够安顿僧众，林僧众私下议论说：哪个长老能够弘扬佛法，能够安顿僧众，哪个长老不侵用寺院财物，能与大家同甘共苦。,那个长老行道安众，那个长老不侵用常住，与众同甘苦。
2463,不久，他任为工部尚书。,未几，拜工部尚书。
2464,协助俞通海攻破赵普胜的栅江兵营。,副俞通海击破赵普胜栅江营。
2465,其后不久，继孟因不建魏忠贤生祠，被斥为邪党，削夺其官职。,寻以不建魏忠贤祠，斥为邪党，削夺归。
2466,“你父亲远去后，客死他乡，你不要再到远处去了，就在近处城里的集市上做生意。”,“汝父远去，身死不还，汝莫远去，当于近处，在市坐肆。”
2467,这天有诏书召用杨伦、杨厚等，又调升黄琼、周举，用李固作大司农。,是日有诏征用伦、厚等，而迁琼、举，以固为大司农。
2468,王祥死了父亲后，逐渐有了声誉。,祥丧父之后，渐有时誉。
2469,夺了他的旗，斩杀以万计，一直追杀到襄邑，收缴贼人们的财粮而回。,取其旆，斩首万计，追北至襄邑，收贼赀粮而还。
2470,今天晋朝帝位虽然衰弱，但天命并未改变，我想在河北争立军功，派你去江南播扬声誉，你是否愿意去呢？”,今晋祚虽衰，天命未改，吾欲立功于河北，使卿延誉于江南，子其行乎？”
2471,结果，世间人都这么说：,今世间人咸作是言：
2472,遭母丧去职归家守丧，庄帝派中书舍人温子升到他家中吊唁，帝下诏让他复职，道穆上表不同意。,遭母忧去职，帝令中书舍人温子升就宅吊慰，诏摄本任，表辞不许。
2473,菩萨放出光明，施与清净之因。,放光施净目；
2474,跟从世宗平定淮南。,从世宗平淮南，
2475,太宗非常满意他的回答。,太宗深善其对。
2476,正因为心直言直，表里如一，自初发心，至证成妙果，始终没有任何迂曲不实之态度。,心言直故，如是乃至终始地位，中间永无诸委曲相。
2477,探究佛法要道，就像登山探海一样要穷尽其高深境界，然后才可以洞悉幽深，杷握精徼妙道，应对变化无穷而倶不离佛法了。,欲究大道，要在穷其高深，然后可以昭薄幽微，应变不穷矣。
2478,渡过黄河方知十二之虚说，来到齐境则想一变之清风，踟蹰四望，依旧何其遥远。,济黄河知十二之虚说，临齐境想一变之清风，踟蹰周览，依然何极？
2479,十多年间，南方境域战争停息，平静安宁。,十余年间，南境宁息。
2480,摩罗耶山出产一种名为牛头的栴檀香。,摩罗耶山出栴檀香，名曰牛头；
2481,一般比例，一斗曲末，用一斗半水；,大率：曲末一斗，用水一斗半；
2482,豆仑与叔父那盖分两路追击，豆仑从浚稽山北面出发向西，那盖则从金山出发。,豆仑与叔父那盖为二道追之，豆仑出自浚稽山北而西，那盖出自金山。
2483,后来遇到高宗去世，帝王殡葬祭礼等旧时礼仪多废弃残缺，叔夏与中书舍人贾太隐、太常博士裴守贞等人，重新修撰制定礼仪，因此被授予春官员外郎。,后属高宗崩，山陵旧仪多废缺，叔夏与中书舍人贾太隐、太常博士裴守贞等，草创撰定，由是授春官员外郎。
2484,探究人们奋马扬鞭的原因，难道是为了一个人的废兴吗？,原夫若人之振策，岂为一人之废兴哉！
2485,如果外道的修行者听到这些话，他们就会这样想吧：,外道梵志若闻此语，当作是念：
2486,神宗很看重海瑞的名声，授予他旧职。,帝雅重瑞名，畀以前职。
2487,扶竹，就是筇竹。,扶竹，筇竹也。
2488,支节也没欠阙。,支节无阙。
2489,在河桥之战中，众将退兵。,河桥之战，诸将退走。
2490,不久，杜范又上疏说：“天灾和干旱，从前本来就有。,未几，复上疏曰：天灾旱，昔固有之。
2491,刘吉回去后，过了一年去世，赠太师，谥文穆。,吉归，逾年卒。赠太师，谥文穆。
2492,这时有好多位比丘，都到阿难的住处，都向阿难说：,时有众多比丘诣阿难所。语阿难言。
2493,梵天王们于是无不顶礼跪拜，五体投地，随后绕佛行礼数百千周，用天花散在佛的身上。,时诸梵天王头面礼佛，绕百千匝，即以天华而散佛上。
2494,如果它就是水的自然本性，那么，当水平静澄清之时，这水就不是水的自身。,若即水性，则澄清时应非水体。
2495,当年刘媪有一次在大泽岸上休息，梦中与天神交合。,其先刘媪尝息大泽之陂，梦与神遇。
2496,神宗命令郭正域回原籍听候审查，赶紧严刑审讯几位被捕的人。,帝令正域还籍听勘，急严讯诸所捕者。
2497,每一个人的能力都不同，却任用他们做同一件事情，不能要求他们都做成。,人不同能，而任之以一事，不可责遍成。
2498,这时候，魏公子威震天下。各国的宾客们进献有关兵法的文章，魏公子把它们加以整理，最后以自己的名字给这部书命名，这就是人们通常所说的《魏公子兵法》。,当是时，公子威振天下，诸侯之客进兵法，公子皆名之，故世俗称《魏公子兵法》。
2499,作为嗣子继位的人，必然想效法先君的行为，就会说：为什么不打开我的府库，看看我们先君留下的法则？,为人后子者，必且欲顺其先君之行，曰：何不当发吾府库，视吾先君之法美。
2500,卫权从此不再提及。,瓘于此不复有言。
2501,父亲江紑，为本州迎主簿，年少时父亲去世，因伤心过度而死，事在《梁书孝行传》。,父紑，本州迎主簿，少居父忧，以毁卒，在《梁书孝行传》。
2502,“这些诸人均为是入定之士的。”,“此诸人皆是入定之士。”
2503,所谓圣谛，含义甚为深奥难解，微细难知，凡夫二乘乃至于最后身菩萨也觉得难以思量，,圣谛者，说甚深义，微细难知，非思量境界，是智者所知。
2504,守卫在主将的门外的卫兵共两队，夹门而坐，要安排好吃饭时的轮班人员，不能有空缺。,谒者侍令门外，为二曹，夹门坐，铺食更，无空。
2505,拂衣而去。,拂衣径去。
2506,慧能可使大家在一刹那间来到西方净土，让大家马上就亲眼见到，各位愿意看见吗？,慧能与诸人移西方于刹那间，目前便见，各愿见否？
2507,二十一日，策试制举、武举人。,己酉，策制举、武举人。
2508,首先由魔附身的人为师傅，与随从的信徒，以淫荡纵欲为修法而相传。,先恶魔师，与魔弟子，淫淫相传。
2509,内心若是生起一个恶念，长期修行种下的善因功德就会全部毁灭。,自性起一念恶，灭万劫善因。
2510,你们持邪恶的见解，不相信真正的佛理，即便是永无休止地修习苦行也一无所获，不如我们一起到摩揭陀国的灵鹫山，礼拜和供奉佛陀，那会获得无限福报。”,卿等邪见，不信正真，百劫勤苦无所一得，不如共往至耆阇崛山，礼事供养得福无限。”
2511,“您不如制止秦国进攻西周。,“君不如禁秦之攻周。
2512,有缘度脱的弟子均已度脱。佛历八十年八月十五月圆之夜在娑罗树下将入涅盘。,所应度者，皆已度讫，于娑罗双树间将入涅盘。
2513,所以善于做老师的人，既要完善自己所传的道，又要谨慎自己的行为，教学要选择恰当的时机，内容多少、速度快慢都要与学生相适应。让学生勤奋为学但不要过于急迫，深入沉思而不纠缠滞涩。减少他不当的行为，成就他所堪能成就的。这样不用费力劳苦，身心也能有大的成就。,是故善为师者，既美其道，有慎其行，齐时蚤晚，任多少，适疾徐，造而勿趋，稽而勿苦，省其所为，而成其所湛，故力不劳而身大成。
2514,皇帝每次巡狩，刘苍常留下镇守，侍卫皇太后。,帝每巡狩，苍常留镇，侍韂皇太后。
2515,王导是王敦的族弟，到宫门前请罪。当时王导以司空、丞相兼任扬州刺史，诸府僚属去问候时，匆忙之下不知该怎么措词才好。,王丞相诣阙谢。司徒、丞相、扬州官僚问讯，仓卒不知何辞。
2516,侍奉君王，要顺从他的心意，不要违背他的意志；,事君者，顺其意，不逆其志；
2517,加上陕西又设置保甲，修葺教场，州县都实行，势头犹如星星之火形成燎燃之势，人人都惶恐害怕，很难再任用，还不如罢免停止来怀柔安抚。,兼陕西再团保甲，又葺教场，州县奉行，势侔星火，人情惶骇，难以复用，不若寝罢以绥怀之。
2518,夏六月六日夜，雷震东京应天门，门上之观发火灾，蔓延一直烧到左、右延福门，整日不灭。,夏六月甲戌夜，雷震东京应天门观灾，延烧至左、右延福门，经日不灭。
2519,假如他们挥刀上来，宗仁他们则只有束手等死而已。,假令挥刃，则宗仁辈束手延颈矣。
2520,前后四次担任京兆尹，虽然没有显赫功名，却也小心拘谨，很多人都称道他。,前后四领京尹，虽无鹤赫之名，而龊龊廉谨，有足称者。
2521,接着又得到侦察兵的报告说：宋军如果晚一天攻打淮安城，那么淮安也归金国了。,继得探报云：宋师迟一宿攻城，淮安亦为金有矣。
2522,女儿回到佛所，说道：,女还到佛所言：
2523,太妃出生贵族，自幼就聪明贤慧。,妃生自华宗，幼而明慧。
2524,如果完全体现它要表现的意义，就不会偏向个人的欲望。,备举其道，不私其欲。
2525,他也不能叫菩萨。”,是不名菩萨。”
2526,“如果能够善于运用观想法,若能善用观想运。
2527,“佛之化生，并没有此死彼生呀。”,“佛化所生，非没生也。”
2528,如能言参执事，献可替否，寇逆能除，国家称庆，那臣虽死如生，为臣犬马之情已毕。”,若得言参执事，献可替否，寇逆获除，社稷称庆，虽死如生，犬马情毕。”
2529,而今羁留河、洛，确实与当年情形相似。,今止河洛，真其时矣。
2530,苻坚追问知道了内情，惊讶地说：“天道与人事多么相近呀！”,坚推问知之，惊曰：“天道与人何其不远！”
2531,毫无障碍地常生予乐的大慈心，充满十方；,常起大慈充满十方无所障碍；
2532,那时，又用一偈半做为弟子们的禁戒：,尔时，复以一偈半为禁戒：
2533,又有三河善辩之客，须臾之间就更定了哀乐，像陈平那样六出奇计，瞬息之间就判断出谋反之人。,复有三河辩客，改哀乐于须臾，六奇谋士，断变反于倏忽。
2534,遣憾的是我年老，来不及看到了，我把宗敞和他的兄弟都交给先生了。”,恨吾年老不及见耳，以敞兄弟托君。”
2535,此时正是陕西用兵打仗，调度费用日益紧张，宋祁上疏说：“兵以食为本，食以财货为资用，这是圣人统一天下之具。,方陕西用兵，调费日蹙，上疏曰：兵以食为本，食以货为资，圣人一天下之具也。
2536,国君您想要消灭盗贼，不如任用举荐的贤才；在上，政教昌明；在下，教化风行，民众有了羞耻之心，还会做什么盗贼吗？”,且君欲无盗，莫若举贤而任之；使教明于上，化行于下，民有耻心，则何盗之为？”
2537,河上飘浮流冰，舟船难以通行。,流澌浮漂，舟船行难。
2538,段秀实和刘海宾商议处死朱泚，并担心叛军惊吓了皇上，就暗地里伪造了朱泚的命令，追赶叛军。,秀实与刘海宾谋诛泚，且虞叛卒之震惊法驾，乃潜为贼符，追所发兵。
2539,后遭母丧，上疏请求回家行丧礼，显宗不许，派遣使者为其脱下丧服，赏赐恩宠甚厚。,后遭母忧，上疏乞身行丧礼，显宗不许，遣使者为释服，赏赐恩宠甚渥。
