白话文,文言文,文言文_较差
司冀一带渐渐安宁，百姓开始缴纳租赋。,司冀渐宁，人始租赋。,司冀慢慢安宁，人们开始交税。
这就是叹。,此名为‘悲。,此物叫悲。
就像这个世界的他化自在天王宫演说这个法门，十方世界中所有的一切世界也都是如此。,如此世界他化自在天王宫演说此法，十方所有一切世界悉亦如是。,这样世界他化自在天王宫里讲这个法，十方所有一切世界也是这样子。
有谚语说：‘社庙里的老鼠不能用烟火熏，离开那里就可以除掉它们了。,谚言有之曰：‘社鼠不可熏，去此乃治矣。,谚语说：‘社鼠不能熏，去掉它就好了。'
初十，禁止关内各州的屠宰业。,癸卯，禁关内诸州屠。,癸卯，禁止关内各州杀猪。
请求推崇魏忠贤三代祖宗时，绍徽也上书建议准其所请。,请推崇其三世，绍徽亦议如其言。,推崇他三家，绍徽也同意他说的那样。
声闻、缘觉、以及下地菩萨们，会心生迷闷。,声闻缘觉及下地菩萨之所迷闷。,声闻缘觉以及下面菩萨所迷闷。
《春秋》的要义，在于亲近诸夏而疏远夷狄。,《春秋》之义，内诸夏而外夷狄。,《春秋》意思，里面是中原人，外面是夷狄。
薛季昶叹道：“我们不知死在什么地方了。”,季昶叹曰：“吾不知死所矣。”,季昶叹曰：“我不知死的地方了。”
颜之仪自幼聪明，三岁能读《孝经》。,之仪幼颖悟，三岁能读孝经。,之仪自小聪明，三岁识字能读《孝经》。
嘉熙四年春正月初六，彗星出现在营室。,四年春正月辛未，彗星出营室。,四年春天正月辛未日，彗星出现在营室。
所谓色受阴，受、想、行、识受阴。,色受想行识受阴。,色受想行识，受阴。
如顽有之念化成的一切土、木、金、石，诸如动植物化石、忘夫石等类充满世界。,精神化为土木金石，其类充塞。,精神变土木金石，那东西满世界都是。
按过去的惯例，掌管翰林院的没有满了一年而不升职的，刘一燝当了四年才升任礼部右侍郎，教习庶吉士。,故事，掌院无满岁不迁者，一景居四年，始迁礼部右侍郎，教习庶吉士。,古来掌院不到一年不会升迁，一景在位四年，才迁礼部右侍郎，教习庶吉士。
皇帝召见问他：“赞普与其祖父相比谁更贤能？”,帝召见问曰：“赞普孰与其祖贤？”,皇帝召见他问道：「赞普比起他爷爷，哪个更贤明？」
地藏菩萨又对长者说：,复次长者。,再次那长者。
有如醍醐味哩！,犹如醍醐时。,好似醍醐灌顶时。
墨子说：“不是这样。,子墨子曰：“不然！,子墨子言：「非也！」
谢安句话都没说，王坦之径直把奏疏丢还给桓温，说：“太多了。”,谢都无言，王直掷还，云：“多。”,谢都无话，王直接扔回去，说：“多。”
若食此香饭的人本来已得阿罗汉果，那么，他的心则得了解脱。然后，这香饭的力量才消化掉哩；,已入正位，食此饭者，得心解脱，然后乃消；,已入正位，吃此饭者，得心解脱，然后才消。
这就是一位比丘，须要以自己为炽燃，,是为比丘自炽燃。,这是比丘自己点火燃烧。
许多强暴的党徒，在外面横行霸道，百官臣子，在内贪残无厌，平民百姓无所依赖，饥寒交迫，父子流亡，夫妇离散，村落成了丘墟，田畴荒芜，疾疫大兴，灾异蜂起。,觽强之党，横击于外，百僚之臣，贪残于内，元元无聊，饥寒并臻，父子流亡，夫妇离散，庐落丘墟，田畴芜秽，疾疫大兴，灾异蜂起。,强者横行在外，小人贪残于内，百姓无依，饥寒交加，父子流亡，夫妇离散，房屋荒废，田地荒芜，疾病肆虐，灾异频发。
“如斫羯罗山王，是由质地纯净的宝石所成就，所有的自在圣众都安住其中，其数无有穷尽；,如斫羯罗山王，纯宝所成，诸自在众咸住其中，无有穷尽。,如砍羯罗山王，全是宝贝造的，那些自在的人都住在里面，没有穷尽。
虚空的世界如果有穷尽的话，我的礼敬，也就可以穷尽。,虚空界尽，我礼乃尽。,虚空尽头，我礼就完。
聪明的人尊崇谋略，愚蠢的人不听这些；,智者尚谋，愚者所不听；,智者爱谋，愚人不听；
王与他一起坐在正房对面西侧的小房子里。,生与之偕坐于西庑下。,生跟他一起坐到西边的走廊下面。
桂萼因前次的大狱没有兴成，想重兴大狱，便请求朝廷留下牙兰的人质，再派遣译者去谕告牙兰，让他归还所侵之地。,萼以前狱未竟，必欲重兴大狱，请留质牙兰，遣译者谕其主还侵地。,萼前面的案子还没完，一定要再搞个大案子，请留质牙兰，派人告诉他老大把地还回来。
除却什么弊病？,除去何病？,除甚病？
到童伐改变古代制度，郊祭的服装都用构玄，旧的法制彻底扫尽了。,及秦变古制，郊祭之服皆以袀玄，旧法扫地尽矣。,到秦朝改古制，郊祭穿的都是黑衣服，旧的规矩全没了。
宋英宗由于疾病的缘故没有亲自上朝处理政事，由皇太后临朝听政，因此，左右亲近的人搬弄是非，几乎使英宗和皇太后之间因嫌疑而产生仇怨。,英宗以疾未亲政，皇太后垂帘，左右交构，几成嫌隙。,英宗生病未管事，太后帘前听政，旁边的人乱说，几乎搞出矛盾。
追赠卫将军，谧号叫穆。,赠卫将军，谥曰穆。,赠卫将军，叫他穆。
如果有四众能正受持这位阿弥陀佛的名号。,若有四众，能正受持彼佛名号，,若有四众，能正确念那佛名号，
孝宗时任南京守备。,孝宗时，守备南京。,孝宗那会儿，他在南京守备。
零陵地下潮湿，编木为城，不可守，也不能防备，郡中百姓惊慌失措。,零陵下湿，编木为城，不可守备，郡中惶恐。,零陵地方潮湿，用木头编个城墙，根本没法防守，大家很害怕。
佛弟子，若遇新学菩萨，无论远近，或百里，或千里，赶来求大乘经律，应按照佛法，为其演说，先修苦行，后从行得解。苦行法中要求烧身、烧臂、烧指，若不能如是，就是着相凡夫，非为出家菩萨。出家菩萨甚至应舍弃自身肉手足去供养饿虎、饿狼、狮子、一切饿鬼等众。,见后新学菩萨，有从百里千里来求大乘经律，应如法为说一切苦行，若烧身、烧臂、烧指。若不烧身、臂、指供养诸佛，非出家菩萨，乃至饿虎、狼、狮子、一切饿鬼，悉应舍身肉手足而供养之。,见新学菩萨，有人从百里千里来求大乘经律，应该依照规矩说一切苦行，比如烧身、烧臂、烧指。如果不烧身、臂、指供养诸佛，就算不出家菩萨。甚至饿虎、狼、狮子、一切饿鬼，都应该舍身肉手足供养他们。
王宗显探知城中虚实及诸将的情形，回来报告太祖。,宗显潜得城中虚实及诸将短长，还白太祖。,宗显偷偷知道城中虚实和各位将领的长短，回去告诉了太祖。
总之，一切万法，若内五蕴身心，若外国土、田宅等皆空，故不见有舍者、受者和舍物。,假成诸法，若内一切法，外一切法，不舍不受。,假借诸法，内外一切法，不捨不受。
这三条中如有一条，即使每天杀一万人，也不必愧疚。,有一于此，虽日杀万夫，不足为愧。,有此一事，虽每日杀万人，也不觉得愧疚。
不管是行，或者是住，或者是坐是卧，都觉寤而无余，智慧都常现在前。,若行，若住、坐、卧，觉悟无余，智常现在前。,若行，若住，坐，卧，觉悟没有余，智经常现在前。
“譬如说墙垣将要倾倒了，从旁边以柱撑之；,“譬若垣墙欲倒，从傍拄之。,譬如墙倒，旁边撑一下。
左右侍从送上饭菜，冷了再热，热了再冷反复多次。,左右进食，冷而复暖者数。,左右吃饭，冷了又热，热了又冷，几次了。
天市垣二十二颗星，在房宿、心宿的东北方，主管权力法度，负责招集众人。,天市垣二十二星，在房心东北，主权衡，主聚众。,天市垣有二十二星，在房心东北，主权衡，主聚众。
齐、楚如今交战，齐国必败。,齐、楚今战，战必败一。,齐楚现在打仗，打仗必定有一方失败。
高祖派遣裴寂、萧蠫讯问，回答说“：从前在大将军府时，司马与长史位望略同。,帝遣裴寂、萧瑀讯状，对曰：“昔在大将军府，司马与长史略等。,"皇帝派裴寂、萧瑀去问情况，回答说：“以前在大将军府的时候，司马和长史差不多一样。"""
当时路边有一片官家的菜园，菜园外面种着谷物，在外围的草丛中设置了机关暗箭，倘若有野兽和盗贼进来，触到设置的罗网，就会中毒箭而死。,时大道边有官菜园，外面种黍穄，其田外草中施张发箭，若有虫兽盗贼来者，触网箭发中箭则死。,时大道边有官家菜园，外面种黍穄，田外草中乱摆发箭，若有虫兽或盗贼来，触网箭射中则死。
如果你真的被人知遇而不得安身的地方，我打算离开你深入深山了。”,果为人知而不得安处，我将弃汝深入穷山矣。,果然被人知道就不能安身，我要抛弃你，到深山里去。
不久，开府赵昶等各路军队进兵讨伐，杜杲率领郡兵与赵昶会合，平定贼党。,寻而开府赵昶诸军进讨，杲率郡兵与昶合势，遂破平之。,寻赵昶开府带军队来讨伐，杲带郡兵跟赵昶合并，然后打败了他们。
他回答我说：,彼报我言：,他回我的话：
应当施行法施慈，因为布施法理无所吝惜的缘故；,行法施慈，无遗惜故；,行法施慈，无遗惜的；
那时，帝释天对忉利的诸天们说：,尔时，帝释语忉利诸天曰：,那个时候，天帝跟忉利那些天人说：
三月二十九日，到昌平。,三月戊辰，如昌平。,三月戊辰日，去昌平。
他又并不是非心，为什么呢？,亦非非心，何以故？,亦非非心，为啥呢？
有的确立四种，即善、不善、虽隐覆圣道但显不善不恶意、虽没有隐覆圣道但显不善不恶意。,或立四种，谓善、不善、有覆无记、无覆无记。,或分四类，曰善、不善、有覆无记、无覆无记。
《先帝记》以及《今记》，为臣与崔浩一同写作。,《先帝记》及《今记》，臣与浩同作。,《先帝记》跟《今记》，我同浩一起写。
懿宗派使者加封杜慆为检校右散骑常侍，勉励他坚守城池。,懿宗遣使加慆检校右散骑常侍，勉以坚守。,懿宗派使者给慆加了个检校右散骑常侍的官，让他一定要坚守。
穷奢耗费叫忠义，省烦从简叫薄俗，互相仿效，漫延开来不可制止，虽然有正常的规定，但没有谁肯遵循。,穷奢竭费谓之忠义，省烦从简呼为薄俗，转相放效，流而不反，虽有常防，莫肯遵修。,极奢豪费叫做忠义，简化省事说是鄙俗，互相模仿，一发不可收拾，虽然有常规防范，没人愿意遵守。
那么，当我闭眼不见时，那你为什么又看我不见的相状呢？,吾不见时，何不见吾不见之处？,我看不到的时候，为啥看不到我看不到的地方？
乱想与色相结合而生成胎遏蒲昙流转各处国土，形成如人、畜、龙、仙等类生命充塞世间。,如是故有胎遏蒲昙流转国土，人、畜、龙、仙其类充塞。,如是故有胎遏蒲昙流转在各国土，人啊、畜啊、龙啊、仙啊那些种类到处都是。
我现在同样的也是值遇贫贱，并没有充足的衣食，这都是由于曩日不造福之故，也是常于诳惑世人，行放逸之法，缘于这些恶行的果报，现世才会遭值贫贱，才会衣食都不充足。,我今复值贫贱，无有衣食，皆由曩日不造福故，诳惑世人，行放逸法，缘此恶行之报，今值贫贱，衣食不充。,我今日又遇贫贱，没衣没食，全是以前不做善事的原因，骗了世人，行为放荡，因为这些恶行的报应，现在贫困，衣食不足。
必定会戒杀护生，给异类大设方便，绝对不会有吃他的肉来保养自己的残忍的心。,必定要戒杀护生，大设方便于异类，决无食彼益我之惨心。,一定要戒杀护生，对其他物种大大方便，绝对没有吃它们来使自己得益的惨心。
后被免去度支职，任命为司空。,罢度支，真拜司空。,罢度支，然后真个拜司空。
五蕴等识的相分，其性质则不必相同，因为这些相分也是依托五蕴、十二处、十八界等因缘而混杂引生的。,蕴等识相不必皆同，三法因缘杂引生故。,蕴等识相不用都一样，三法因缘混杂引来生故。
如努力图谋自治的办法；,如力图自治之策，,如用力图自己治之策，
其实于其心中并无贪欲、嗔恚、愚痴之行。,而心无有贪恚痴行。,心中无贪无恚无痴的行为。
彦昭杀了自家的牛犒军，士兵们都死战，杀贼三千人。,彦昭击家牛犒军，士死战，斩首三千级。,彦昭打家里的牛给士兵吃，士兵们拼命打，砍了三千多颗头。
世尊告诉说：,佛告王曰：,佛讲给国王听：
婆罗门种是清净无瑕的，其它的全是庸俗无知。,我种清白，余者黑冥；,我种清白，其它黑冥。
虞国和芮国的国君说：“唉！,虞、芮之君曰：“嘻！,虞、芮之君曰：“嘻！这个……”
李成梁派遣各将分别驻守要害地带来阻止敌人，而自己亲自率领精锐部队，出塞二百多里，直捣圜山。,成梁遣诸将分屯要害以遏之，而亲提锐卒，出塞二百余里，直捣圜山。,成梁派几个将军分着屯在重要地方拦住他们，自己带精兵出塞两百多里，直去打圜山。
这大概才能使之符合先祖们严于律己的美德，表现圣主无私的英明。”,庶使叶先朝罪己之德，表圣主无私之明。”,庶使叶前朝罪己德，表圣主无私明。
来往行人看到孩子后，无不感到惊讶。,路人往来无不愕然。,路上的人来来往往，都惊呆了。
我望皇上下决心改变这种状况，所思万事，都为了报答老天的希望。,臣愿陛下忍而绝之，思惟万机，以荅天望。,臣希望陛下忍心断绝，想想万千事情，回复天意。
过了许久，高宗对群臣说道：“源贺劝朕宽宥各种死刑，将其贬徙充军到北边的各个戍所，从那时到现在，一年之中得以活命的人实在不少，这样既表明了救济民生的大理，又对充实边戍的兵力有好处。,久之，高宗谓群臣曰：“源贺劝朕宥诸死刑，徙弃北番诸戍，自尔至今，一岁所活殊为不少，生济之理既多，边戍之兵有益。,久之，高宗对大臣说：“源贺劝我饶恕这些死刑犯，把他们发配到北边的戍所，从那时候到现在，每年救活的人不少，活下来的人多了，边疆的兵力也有好处。”
十方的一切诸多众生，大乘、小乘、有学、无学，一切的如来和菩萨，所有的功德，我全都随喜。,十方一切诸众生，二乘有学及无学，一切如来与菩萨，所有功德皆随喜。,十方所有众生，小乘有学无学，一切如来菩萨，所有功德都随喜。
占卜先生说：“我对你讲过不能往北去的。”,日者曰：“我谓先生不可以北。”,日者说：“我以为先生你不可以去北方。”
东北八州，石勒灭掉了七个，先朝授予的州郡，留存的仅有我这一处了。,自东北八州，勒灭其七，先朝所授，存者唯臣。,自东北八州，消灭了七个，老皇帝给的，现在只剩下我了。
当初，赵至把自己从军看成耻辱，想用做官和学六艺来立名，期望能以此赡养父母。,初，至自耻士伍，欲以宦学立名，期于荣养。,初，至自耻为士伍之人，欲用宦学成名，期望荣养。
就便会命终，而来生于此世间。,则便命终来生此间。,那就死了再生到这里。
等到他开口说话发表议论时，往往颇有意味情趣。”,及其发言遣辞，往往有情致。”,等到他说话写文章，常常有点情感味道。
如果此智心品不是自受用身，那又属于何种身？,若非受用，属何身摄？,若不是用得着，那是啥子身分？
我今天就舍弃家业，皈依佛教。人生在世，犹若飞扬的微尘，在死亡忽然来临时，为罪业所缠绕。,今欲舍家，归命福田，计命寄世，忽若飞尘。无常卒至，为罪所缠。,今欲弃家，归命于福田，性命寄世，忽如飞尘。无常忽至，为罪所困。
没有大心时，便会自己觉知为没有大心。,无大心，便自觉知无大心。,无大志，自己就晓得无大志。
此时逖益州的安素仪没有儿子，就让乌撒土官的儿子安绍庆继承了她的官职。,时沾益安素仪无子，以乌撒土官子安绍庆为嗣。,时沾益安素仪没有儿子，就让乌撒土官的儿子安绍庆来继承。
魏将犀首战胜了楚威王，但魏军已经疲惫，害怕秦国，果然献出了西河之外。,犀首战胜威王，魏兵罢弊，恐畏秦，果献西河之外。,犀首打胜了威王，魏国的兵士都很累，怕秦国，最后果然献出了西河那边的地方。
不久他又请停止役使京营兵去修城，使他们得到休息，以备有缓急之事发生。,寻又请罢京营兵修城之役，令休息以备缓急。,寻又请停京营兵修城工，让士兵休息备用。
所以染色不能不谨慎啊！,故染不可不慎也！,染不可不谨慎啊！
习凿齿在谢函中也说：“若不遇见明公，我不过是个荆州老从事罢了！”,凿齿谢笺亦云：“不遇明公，荆州老从事耳！”,凿齿写信说：“若不是遇到明公，我就是个在荆州的老从事了！”
神秀又亲自写信重新邀请他，慧能对来人说：“我身材矮小，相貌丑陋，到北方去抛头露面，恐怕是对我佛法的大不恭敬。,神秀又自作书重邀之，慧能谓使者曰：“吾形貌短陋，北土见之，恐不敬吾法。,神秀又自己写信重邀他，慧能对使者说：“我长相矬陋，北方人看了，怕不尊敬我法。”
如这四天下一样，三千大千世界也是这样的啊。二十五种存在的世界，如《首楞严经》中所广加分说的一样，,如四天下三千大千世界亦尔，二十五有如《首楞严经》中广说。,如四天下三千大千世界也是这样，二十五有如《首楞严经》中说的那样多。
申敦之弟申静，曾任齐安郡守。,敦弟静，齐安郡守。,敦弟很静，他是齐安郡的守。
那些知道这种佛理的人，就叫做善于解释律理。,其知此者，是名善解。,知道这个的，叫做善解。
初五，下诏“：陈垲等人年老奉祠，应该予以崇奖：,壬戌，诏：陈垲等耆年奉祠，宜示崇奖：,壬戌日，下诏：陈垲这些人年纪大了，应该给他们些奖励，表示尊敬。
又写信给崔猷，讨论移立治所。,并致书于猷论将移之意。,并写信给猷，说要搬家的意思。
回到长安，一年多后，光禄差遣李含任寿城邸阁督。,归长安，岁余，光禄差含为寿城邸阁督。,回到长安，一年多后，光禄随便分了个寿城邸阁督给含。
景泰初年，他升为尚书，兼翰林学士，仍掌内阁事务。,景泰初，进尚书，兼翰林学士，掌阁务如故。,景泰初年，升尚书，兼翰林学士，还跟以前一样管阁务。
隋朝大业年间，突厥军在雁门包围了炀帝，炀帝从围城中用木块系上诏书，放进汾水让它顺流而下，诏令招兵奔赴救援。,大业中，突厥围炀帝雁门，炀帝从围中以木系诏书，投汾水而下，募兵赴援。,大业年间，突厥围攻炀帝于雁门，炀帝从围中用木头绑诏书，丢入汾水往下流，招募士兵来救援。
先生如果确实相信我的话，那么即使有别的寺院答应了你的要求，你也应该谢绝他们的好意，勿以寺院公产为私人所用。若能如此，那么先生的前程真是未可限量。,公果见信，则他寺所许者，皆谢而莫取，则公之前程未可量也。,公若见信，则其他寺庙许诺的，都谢绝不要，公的前程不可限量也。
阿难随即从座位上起来，顶礼膜拜于佛陀脚下后，对佛陀说：,阿难即从座起，顶礼佛足，而白佛言：,阿难就从座位起来，顶一下佛的脚，跟佛说：
比丘因为不知道详情，进入一户＊＊家中。,以不知故入淫女家。,因不知情而进了一个淫妇家里。
如来是难得可以见闻的，经过了无数的劫时今天才得遇到；,如来难可得见闻，无量亿劫今乃值；,如来很难见到听到，无量亿劫今才碰见。
当时文殊菩萨还是一位凡人。,文殊师利，时为凡人。,文殊师利，当时是个普通人。
能成这样的无量功德的人名叫阿罗汉。,能成如是无量功德名阿罗汉。,能成这样无量功德，叫做阿罗汉。
五月初七，用黄金、丝织品赎回沦落在突厥的隋朝遗民，使他们归返家园。,五月乙丑，以金帛购隋人没于突厥者，以还其家。,五月乙丑，用金帛买隋人被突厥抓去的，送他们回家。
陛下继承祖先列圣的王统，而总领百神，驾御天下，怎么不加慎重，只听信小人的话，抵触千古不易的常典呢？”,陛下承列圣之统，以总百神，临万方，焉得不加慎重，顾听细人之说，干不易之典哉？”,陛下继承历代圣人之统绪，总领百神，面对万方，怎么可以不慎重，反而听信小人之言，改变不易之典章呢？
佛弟子，复从所入三昧正定心中，观照本有妙慧，证入本有真空，则心心相续，唯静是缘。,若佛子，复从定心，观慧证空，心心静缘。,若佛子，又从定心，观慧证空，心心静缘。
逝心听完世尊的开示，羞愧难当，无言以对。又问世尊：,逝心闻佛所说，忽然惭耻无辞复言，又白佛言：,逝心听佛说话，忽然觉得羞愧，说不出话来，又跟佛说：
到蠕蠕奉迎魏文帝悼后。,迎魏文帝悼后于茹茹。,迎魏文帝悼后到茹茹那边去。
故而王公卿士，请辅助他！,肆尔王公卿士，其辅之！,尔等王公卿士，帮帮忙辅佐一下！
狱卒问他说：,狱卒问言：,狱卒问道：
这是在有相同一面基础上的不同一面。有的推论前提肯定，结论也肯定。,为其同也异。,为之同，却异。
如来智业妙无比，真谛俗谛权实理，殊胜智愿秘密乘，你等当住于斯道。,作业妙无比，常依于二谛，是乘殊胜愿，汝当住斯道。,作业妙无比，常常依靠二谛，这个法门特别好，你应该住在这个道上。
改羽林军百名骑兵为千名骑兵。,改羽林军百骑为千骑。,改羽林军一百骑为一千骑。
元显挥臂慷慨地对道子说：“去年没有讨伐王恭，以致有如今的战事。,元显攘袂慷慨谓道子曰：“去年不讨王恭，致有今役。,元显挽起袖子，激动地说给道子听：“去年不打王恭，所以现在才有这场战争。”
“造字的老师，是谁呢？”,“造书师者为谁？”,做书的人是谁？这不是个造书师吗？他是谁啊？
于是令军职上开府以上，文职下大夫以上，外任刺史以上者，各举荐清廉能干者三人。,于是遣戎秩上开府以上，职事下大夫以上，外官刺史以上，各举清平勤干者三人。,于是叫那些开府以上的官员，大夫以上的职位，刺史以上的外官，各自推荐三个清平勤干的人。
“我不应该停住在于这里。应当前往阎浮堤，去礼拜诸上座的比丘。”,“我不应停此，当往阎浮提礼拜诸上座比丘。”,我不可停留于此，应该去阎浮提拜见那些老比丘。
朱鲔听到光武北上而河内势孤，就使讨难将军苏茂、副将贾强率兵三万多人，渡过巩河向温进攻。,朱鲔闻光武北而河内孤，使讨难将军苏茂、副将贾强将兵三万余人，度巩河攻温。,朱鲔听说光武往北走河内没人守，派讨难将军苏茂、副将贾强带兵三万多，过巩河打温。
你乃能在于如来之前作狮子吼，而问如此之义“,汝乃能于如来前而师子吼，问如此义：,你能在如来前面大声说话，问这种问题：
审查太祖庙附祭功臣绝封者后代。,录太祖庙配享功臣绝封者后。,录太祖庙里配享功臣绝封之后。
友通期犯了点小错，顺帝便把她归还给梁商。,通期有微过，帝以归商，,通期有小错，皇帝让他回去找商人。
有人对韩国的相国公仲说：,或谓韩公仲曰：,或人对韩公仲说：
说过后流泪。,言发涕流。,说话眼泪流下来。
由此我知道我的肉身终有一天会彻底绝灭。,故知我身终从变灭。,故知我身终会变化消灭。
获得秘密授记。,密与授记。,暗中给个记号。
‘身在高位，而不具有相应的德行，只爱用虚名来标榜自己的人，行为必然骄奢。,‘居上位未得其实，以喜其为名者，必以骄奢为行。,在高位未有实权，喜欢虚名者，必定行为骄奢。
福州推官刘抃凭借术数，预言人的祸福，常常出入公卿之门，贾黯上奏任他为灵台郎。,福州推官刘抃挟数术，言人祸福，多游公卿门，黯奏以为灵台郎。,福州有个推官叫刘抃，他会算命看风水，经常说人祸福，经常出入公卿家门。黯就上奏推荐他做了灵台郎。
有孤立无援而坚持节操的臣子，圣明的君主因为刚正而原谅他。,臣有孤特以执节，明主恕之以劲。,臣有特立独行的节操，皇帝原谅他的固执。
静，好比死棋。”,静若棋死。”,静如死棋。
崔瞿问老聃说：“不治理天下，怎样使人心向善？”,崔瞿问于老聃曰：“不治天下，安臧人心？”,崔瞿问老聃曰：“不治理天下，怎么安放人心？”
我现在再问你，,今复问汝：,今再问你：
四、智度，即由前六度成立的妙智，受用法乐，使有情众生成熟起来。,四、智波罗蜜多，谓由前六波罗蜜多成立妙智，受用法乐，成熟有晴故。,四、智波罗蜜多，前六波罗蜜多成立妙智，受用法乐，成熟有情故。
之前有一位长者，女儿即将出嫁，雇了这位师傅穿一串宝珠，付十万工钱。,先有长者，将欲嫁女，雇穿珠师，穿一宝珠，与钱十万。,有个老者，想嫁女儿，找了个穿珠的，穿个宝珠，给十万钱。
好比一个孩童，在巨人的腋下遮掩住了自己的眼睛，却说自己逃脱了，这是可以的吗？”,譬诸孺子，掩目巨夫之掖，而曰逃，可乎？”,譬如小孩子，用手把大人腋下盖住，就说逃跑，可以吗？
你现在宁可舍弃此恶见，不可长夜自增其苦恼。”,汝今宁可舍此恶见，勿为长夜自增苦恼。”,汝今可舍此恶见，不要长夜自己增加苦恼。
就是第三种类的师父，可以自诫。,是为三师可以自诫。,这是三个老师可以自己戒。
王甫说“：你们互相提拔推举，唇齿相依，不合你们意的就排斥，这是什么意思？”,甫曰：“卿更相拔举，迭为唇齿，有不合者，见则排斥，其意如何？”,甫曰：“你们互相提拔，互相帮忙，有不合的，看见就排挤，这是什么意思？”
“大通智胜佛宣说《妙法莲华经》时，十六位修习菩萨乘的沙弥都诚心笃信、欢喜接受，声闻乘弟子也有不少信解开悟的，然而仍有其他千万亿种的众生心生疑惑《大通智胜佛足足花了八千劫时，中间从未休息中断，才宣说完《妙法莲华经》。,“说是经时，十六菩萨沙弥皆悉信受，声闻众中亦有信解，其余众生千万亿种，皆生疑惑。,说这话时候，十六个菩萨沙弥都信了，声闻众里也有明白的，其他众生千万亿种，都生疑惑。
直到百千万劫，,百千万劫。,万千百劫。
如来已于昨夜圆寂。,如来昨夜已取灭度。,如来昨晚已经圆寂了。
二十三日，刘仁轨逝世。,戊辰，刘仁轨薨。,戊辰日，刘仁轨死啦。
“牛马非牛”与“牛马牛也”这两个命题，必然是一个成立，一个不成立。即“牛马非牛”成立，“牛马牛也”不成立。所以对方说“‘牛马非牛不成立，‘牛马牛也也不成立”，是不成立的。况且“牛”不包含两个元素，“马”不包含两个元素，而“牛马”包含两个元素，则论证“牛是牛”、“马是马”、“牛马非牛”、“牛马非马”的命题，就没有什么困难了。,而曰“‘牛马非牛也未可，‘牛马牛也未可”亦不可。且“牛”不二，“马”不二，而“牛马”二。则“牛不非牛”，“马不非马”，而“牛马非牛”、“非马”无难。,而说“‘牛马不是牛也不行，‘牛马是牛也不行”也不行。而且“牛”只有一种，“马”也只有一种，但是“牛马”就有两种了。那么“牛不是非牛”，“马不是非马”，而“牛马不是牛”“不是马”就不会难。
现在飞蝗遍地都是，还会反复繁殖，而且河南河北都家无隔日储粮，一无收获百姓就要流离，国家安危也系于此。,今飞蝗所在充满，加复蕃息，且河南、河北家无宿藏，一不获则流离，安危系之。,今日飞蝗到处充满，更加繁殖，而且河南、河北家里没有储备，一旦收成不好就会流离失所，安危系于此。
冬十月九日，车驾返回京师。,冬十月己卯，车驾还京师。,冬十月初六，车子回到京城。
他观看后，仰白佛而说：您到底是天神与否呢？,见已。白言。为是天耶,见了。说道。这是天意吗，
六年十月乙未，有孛星出现在少微，经过轩辕。,六年十月乙未，有星孛于少微，历轩辕，,六年十月乙未，一颗星在少微乱窜，经过轩辕，糟了。
如果正确的观察为无常后，即识爱就会解除。,正观无常已。识爱即除。,正観无常也。识爱就除。
如果牧人那里没有符合要求的羊牲，就从司马那里领取钱，派手下的贾人去购买羊牲而供给所需。,若牧人无牲，则受布于司马，使其贾买牲而共之。,若牧人无牲，就给司马布，让他自己去买牲来用。
俺答杀害数万人，所过之处没有孑遗，大肆掠夺了十四天后离去。,杀人数万，所过无孑遗，大掠十有四日而去。,杀人几万，过处没留下一个，抢了十四天才走。
君子贫穷但志向远大，是要推崇仁爱；,君子贫穷而志广，隆仁也；,君子穷而志大，讲仁义也；
韩国眼看灭亡就在眼前，怎么会不听秦国的支配呢？,韩见必亡，焉得不听？,韩见必亡，怎么不得听？
推让不肯接受。,遂让不受。,于是推辞不收。
成就此法的话，,成此法者。,做成此法者。
于是年老体弱的人都有了供养，鳏夫、寡妇都有了家室。,于是老弱有养，鳏寡有室。,于是老弱有人养，鳏寡有人房。
上前相互寒喧问讯，然后各自就坐。,前相问讯，就坐。,前个相问讯，就坐。
如果我的佛国净土中还有人生分别、执着之心，贪求留恋、执着计较自己的色身，我终不成佛。”,若起想念，贪计身者，不取正觉。”,若起想念，贪恋身体，不取正觉。
行密指责用之的罪恶，与张守一一起在三桥斩首，其妻儿也被处死，还将其罪状公之于大路上。,行密责其罪，并张守一斩于三桥，妻子皆死，著其罪于路。,行密责他罪，然后把张守一和三桥斩了，连家人都杀了，把他的罪写在路边。
石鉴从军中回朝廷，上报功劳不属实，被杜预弹劾，于是相互仇恨，吵阐不止，两人都坐罪免官，以侯爵兼任本职。,石鉴自军还，论功不实，为预所纠，遂相仇恨，言论喧哗，并坐免官，以侯兼本职。,石鉴从军回来，论功行赏不实，被预告发，于是两人结仇，吵得很凶，一起被免官，后来以侯的身份兼本职。
是谁所生？,谁之所生？,谁生的呢？
诏令二广不要用摄官人治理刑狱。,诏二广毋以摄官人治狱。,诏两广不要用临时官员审案。
他说：“劣马比起笨牛来虽然速度很快，但只能承载人而已。,曰：“驽马虽精速，能致人耳。,"曰：“烂马虽快，也能带人耳。"""
“去了一定要乖觉，要见机行事。”,“去即乖觉。”,去就变奇怪了。
